Sent At,Direction
"8/6/20, 3:39 AM",INCOMING
"8/6/20, 3:34 AM",INCOMING
"8/6/20, 3:15 AM",INCOMING
"8/6/20, 3:04 AM",INCOMING
"8/6/20, 2:59 AM",INCOMING
"8/6/20, 2:53 AM",INCOMING
"8/6/20, 2:38 AM",INCOMING
"8/6/20, 2:31 AM",INCOMING
"8/6/20, 2:24 AM",INCOMING
"8/6/20, 2:17 AM",INCOMING
"8/6/20, 2:13 AM",INCOMING
"8/6/20, 2:07 AM",INCOMING
"8/6/20, 2:03 AM",INCOMING
"8/6/20, 2:02 AM",INCOMING
"8/6/20, 1:30 AM",INCOMING
"8/6/20, 1:10 AM",INCOMING
"8/6/20, 12:59 AM",INCOMING
"8/6/20, 12:58 AM",INCOMING
"8/6/20, 12:57 AM",INCOMING
"8/6/20, 12:42 AM",INCOMING
"8/6/20, 12:40 AM",INCOMING
"8/6/20, 12:26 AM",INCOMING
"8/6/20, 12:13 AM",INCOMING
"8/6/20, 12:10 AM",INCOMING
"8/6/20, 12:10 AM",INCOMING
"8/6/20, 12:08 AM",INCOMING
"8/5/20, 11:56 PM",INCOMING
"8/5/20, 11:48 PM",INCOMING
"8/5/20, 11:32 PM",INCOMING
"8/5/20, 11:31 PM",INCOMING
"8/5/20, 11:15 PM",INCOMING
"8/5/20, 11:11 PM",INCOMING
"8/5/20, 11:03 PM",INCOMING
"8/5/20, 11:00 PM",INCOMING
"8/5/20, 10:55 PM",INCOMING
"8/5/20, 10:46 PM",INCOMING
"8/5/20, 10:27 PM",INCOMING
"8/5/20, 10:25 PM",INCOMING
"8/5/20, 10:06 PM",INCOMING
"8/5/20, 9:55 PM",INCOMING
"8/5/20, 9:54 PM",INCOMING
"8/5/20, 9:53 PM",INCOMING
"8/5/20, 9:44 PM",INCOMING
"8/5/20, 9:24 PM",INCOMING
"8/5/20, 9:18 PM",INCOMING
"8/5/20, 11:19 AM",INCOMING
"8/5/20, 9:28 AM",INCOMING
"8/5/20, 7:29 AM",INCOMING
"8/5/20, 6:19 AM",INCOMING
"8/5/20, 5:14 AM",INCOMING
"8/5/20, 2:12 AM",INCOMING
"8/5/20, 1:37 AM",INCOMING
"8/4/20, 10:07 PM",INCOMING
"8/7/20, 4:02 AM",INCOMING
"8/7/20, 12:05 AM",INCOMING
"8/7/20, 12:03 AM",INCOMING
"8/6/20, 9:40 PM",INCOMING
"8/6/20, 8:47 PM",INCOMING
"8/6/20, 8:30 PM",INCOMING
"8/6/20, 8:06 PM",INCOMING
"8/6/20, 8:00 PM",INCOMING
"8/6/20, 7:57 PM",INCOMING
"8/6/20, 7:52 PM",INCOMING
"8/6/20, 7:39 PM",INCOMING
"8/6/20, 7:12 PM",INCOMING
"8/6/20, 7:06 PM",INCOMING
"8/6/20, 7:05 PM",INCOMING
"8/6/20, 6:09 PM",INCOMING
"8/6/20, 4:04 PM",INCOMING
"8/6/20, 3:12 PM",INCOMING
"8/6/20, 2:07 PM",INCOMING
"8/6/20, 1:56 PM",INCOMING
"8/6/20, 1:07 PM",INCOMING
"8/6/20, 12:56 PM",INCOMING
"8/6/20, 12:40 PM",INCOMING
"8/6/20, 11:44 AM",INCOMING
"8/6/20, 10:55 AM",INCOMING
"8/6/20, 10:04 AM",INCOMING
"8/6/20, 9:41 AM",INCOMING
"8/6/20, 9:35 AM",INCOMING
"8/6/20, 9:18 AM",INCOMING
"8/6/20, 9:11 AM",INCOMING
"8/6/20, 9:07 AM",INCOMING
"8/6/20, 8:56 AM",INCOMING
"8/6/20, 8:38 AM",INCOMING
"8/6/20, 7:45 AM",INCOMING
"8/6/20, 7:41 AM",INCOMING
"8/6/20, 7:02 AM",INCOMING
"8/6/20, 6:45 AM",INCOMING
"8/6/20, 6:39 AM",INCOMING
"8/6/20, 6:38 AM",INCOMING
"8/6/20, 6:30 AM",INCOMING
"8/6/20, 6:25 AM",INCOMING
"8/6/20, 6:08 AM",INCOMING
"8/6/20, 5:53 AM",INCOMING
"8/6/20, 5:50 AM",INCOMING
"8/6/20, 5:30 AM",INCOMING
"8/6/20, 5:17 AM",INCOMING
"8/6/20, 4:39 AM",INCOMING
"8/6/20, 3:31 AM",INCOMING
"8/6/20, 3:28 AM",INCOMING
"8/6/20, 3:27 AM",INCOMING
"8/6/20, 3:10 AM",INCOMING
"8/4/20, 1:55 PM",INCOMING
"8/4/20, 12:35 PM",INCOMING
"8/4/20, 2:07 AM",INCOMING
"8/4/20, 12:28 AM",INCOMING
"8/3/20, 11:15 PM",INCOMING
"8/3/20, 10:13 PM",INCOMING
"8/3/20, 8:26 PM",INCOMING
"8/3/20, 6:53 AM",INCOMING
"8/3/20, 4:08 AM",INCOMING
"8/3/20, 3:05 AM",INCOMING
"8/2/20, 10:22 PM",INCOMING
"8/2/20, 10:19 PM",INCOMING
"8/2/20, 7:56 AM",INCOMING
"8/2/20, 5:41 AM",INCOMING
"8/2/20, 5:13 AM",INCOMING
"8/1/20, 6:57 AM",INCOMING
"8/1/20, 6:05 AM",INCOMING
"7/31/20, 11:54 PM",INCOMING
"7/31/20, 9:15 PM",INCOMING
"7/31/20, 8:23 PM",INCOMING
"7/31/20, 5:16 PM",INCOMING
"7/31/20, 2:30 PM",INCOMING
"7/31/20, 9:56 AM",INCOMING
"7/31/20, 12:35 AM",INCOMING
"7/30/20, 11:32 PM",INCOMING
"7/30/20, 9:57 PM",INCOMING
"7/30/20, 8:18 PM",INCOMING
"7/30/20, 6:25 PM",INCOMING
"7/30/20, 5:18 PM",INCOMING
"7/30/20, 4:09 PM",INCOMING
"7/30/20, 2:45 PM",INCOMING
"7/30/20, 1:11 PM",INCOMING
"7/30/20, 11:43 AM",INCOMING
"7/30/20, 11:04 AM",INCOMING
"7/30/20, 10:31 AM",INCOMING
"7/30/20, 10:07 AM",INCOMING
"7/30/20, 9:59 AM",INCOMING
"7/30/20, 9:37 AM",INCOMING
"7/30/20, 9:22 AM",INCOMING
"7/30/20, 9:04 AM",INCOMING
"7/30/20, 8:27 AM",INCOMING
"7/30/20, 8:18 AM",INCOMING
"7/30/20, 8:17 AM",INCOMING
"7/30/20, 8:17 AM",INCOMING
