Company,Position,Connected On
Smart India Hackathon 2020,Winner,13-Aug-20
,,13-Aug-20
Touch2Success,Development Intern,13-Aug-20
LM Ericsson Bangladesh Ltd.,Transport Network Engineer,13-Aug-20
Tata Consultancy Services,Machine Learning Engineer,13-Aug-20
,,13-Aug-20
,,13-Aug-20
Analytics Vidhya,Technical Content Writer,13-Aug-20
Youth Empowerment Foundation,Human Resources Intern,13-Aug-20
IIM Bangalore's Vista,Campus Ambassador,13-Aug-20
Cientra ,Senior Director,13-Aug-20
Microsoft,Asia Virtual Experience Program,13-Aug-20
Daimler India ,Senior Area Manager,13-Aug-20
"Next Level Career Coach, LLC",Career Coach & Company Founder,13-Aug-20
Oak systems Pvt Limit,Sr. software Engineer,13-Aug-20
,,13-Aug-20
Vogo Automotive Pvt. Ltd.,Assistant Manager QA,13-Aug-20
Chegg Inc.,subject matter expert,13-Aug-20
Arima Communications Corp.,RD,13-Aug-20
Bright Network,Technology Intern,13-Aug-20
Cognizant,Graduate Trainee,13-Aug-20
Sonata Software,Consultant,13-Aug-20
RCS Tech LLP,Software Engineer,13-Aug-20
,,13-Aug-20
Olcademy,Web Development Intern,13-Aug-20
Ed Ventures E-Learning Pvt LTD,Software Engineer,13-Aug-20
Cleareye.ai,Lead DevOps Engineer,12-Aug-20
,,12-Aug-20
CodeChef SRM Student Chapter,competitive coder,12-Aug-20
,,12-Aug-20
CSI Interfusion India Pvt. Ltd.,Software Engineer,12-Aug-20
Blaize,Research Engineer (Computer Vision & Artificial Intelligence),12-Aug-20
Digital Jalebi - Experiential Design Studio,Web Development Intern,12-Aug-20
Owebest Technologies Pvt. Ltd.,iOS Developer,12-Aug-20
Great Learning,Campus Ambassador,12-Aug-20
Tata Consultancy Services,Assistant System Engineer Trainee,12-Aug-20
ACM BIT MESRA,Member,12-Aug-20
RWS Moravia,Software Developer,12-Aug-20
D. E. Shaw India Private Limited,Senior Member Technical,12-Aug-20
Shell,Software Engineer,12-Aug-20
Steelwedge (Now part of E2open),Project Trainee,12-Aug-20
Checktronix India Private Limited (A Burning Glass Technologies Company),Software Engineer,12-Aug-20
,,12-Aug-20
PayPal,Business Analyst - II,12-Aug-20
,,7-Aug-20
Sutherland,SDE Intern,7-Aug-20
AT Develops,Web Developer,7-Aug-20
VoiceMailTel,DevOps Engineer,7-Aug-20
ARTH - The School of Technologies,ARTH Learner,7-Aug-20
,,7-Aug-20
Tata Consultancy Services,Assistant System Engineer - Trainee,7-Aug-20
Information Systems Security Association (ISSA),Vice President of ISSA-NIE,7-Aug-20
McAfee,Software Development Engineer,7-Aug-20
The Sparks Foundation,Web Development and Designing Intern,7-Aug-20
Ashley Autumn-Wolf of Ashleys Gem Emporium ,Lapidary Artisan & Appraiser at Ashleys Gem Emporium ,7-Aug-20
CogAi,Machine Learning Engineer,7-Aug-20
GEP Worldwide,Associate Software Engineer,7-Aug-20
Tata Consultancy Services,Jr Data Scientiest,7-Aug-20
Jadavpur University,Undergraduate Student Researcher,7-Aug-20
CoreEL Technologies,Summer Intern,7-Aug-20
Internshala,Student Partner and Captain,7-Aug-20
Accenture,Associate Software Engineer,7-Aug-20
TechSmith Corporation,Technology Evangelist,7-Aug-20
Qualcomm,Associate Software Engineer,7-Aug-20
,,7-Aug-20
Yellow Class,Management Intern,7-Aug-20
Power2SME,Sales Manager,7-Aug-20
Fusion AI,Artificial Intelligence Engineer,7-Aug-20
Gap Inc.,Associate Software Engineer,7-Aug-20
The Sparks Foundation,DATA SCIENCE AND BUSINESS ANALYTICS INTERN,7-Aug-20
BRILLICA SERVICES PVT. LTD,Data Analysis(Intern Trainee),7-Aug-20
,,7-Aug-20
,,7-Aug-20
Zycus,Associate Software Engineer DevOps - CoE,7-Aug-20
"Army Institute of Technology, Pune",Joint Secretary of Cultural Board,7-Aug-20
Microsoft,"Director, Engineering Finance",7-Aug-20
Capgemini,Consultant,7-Aug-20
Shell,Software Engineer,7-Aug-20
Google Developers,Google Developers Group Member,7-Aug-20
Coding Club,Campus Ambassador,7-Aug-20
Collegedunia,Backend Developer,7-Aug-20
HARMAN International,Associate Software Engineer,7-Aug-20
Attim,Software Engineer,7-Aug-20
Rotaract Club of GCT Coimbatore ,Director Of Community Services,7-Aug-20
,,7-Aug-20
"Indraprastha Institute of Information Technology, Delhi",Foobar-Elite Member,7-Aug-20
Huawei Technologies India,DevOps Engineer-PaaS Solution,7-Aug-20
"Entrepreneurship Cell, NIT Raipur",Manager,7-Aug-20
Tata Consultancy Services,Assistant System Engineer,7-Aug-20
Avalara,Software Engineer,7-Aug-20
Suvidha Electricals,Electrical Engineer,7-Aug-20
QS Quacquarelli Symonds,Associate Software Engineer,7-Aug-20
Bharati Vidyapeeth / Bharati Vidyapeeth Deemed University,Engineering Student,7-Aug-20
CrossAsyst Infotech Private Limited,DevOps Engineer,7-Aug-20
HyLoApp,Intern,7-Aug-20
FIS,Information Security Engineer,7-Aug-20
Byticians,Co-Founder,7-Aug-20
HP,IT Developer,7-Aug-20
Toastmasters International,Club Vice President Education,7-Aug-20
EdgeVerve Systems Ltd.(Product Based) - An Infosys Company,Software Engineer,7-Aug-20
DXFactor,Software Engineer,7-Aug-20
Amazon,Software Development Engineer,7-Aug-20
LG Electronics,Quality Assurance Intern,7-Aug-20
,,7-Aug-20
Coding Ninjas India,Campus Ninja,7-Aug-20
ServiceNow,Software Engineer,7-Aug-20
,,7-Aug-20
Quantium,Data Scientist,7-Aug-20
,,7-Aug-20
Ameyo,Software Engineer ,7-Aug-20
DigitalBuzz Software Pvt Ltd,Frontend Developer,7-Aug-20
infostack research and development,Web Developer,7-Aug-20
Delhivery,Software Developer,7-Aug-20
Allsoft Solutions Services Pvt Ltd. and IBM Business Partner,Summer Trainee,7-Aug-20
Autonomous Underwater Vehicle - Delhi Technological University (DTU-AUV),Software Engineer,7-Aug-20
Itvedant Education Pvt. Ltd - Decode Your Dreams,Regional Manager,7-Aug-20
,,7-Aug-20
PlanAI4BIM,Computer Vision Engineer,7-Aug-20
,,7-Aug-20
Unnat Bharat Abhiyan,Member,7-Aug-20
,,7-Aug-20
Shell,Project Manager/Scrum Master,7-Aug-20
HGS - Hinduja Global Solutions,seniour claim prosesser,7-Aug-20
COLING 2020 ,Presenter,7-Aug-20
HashedIn,Software Engineer,7-Aug-20
Student Organization Oasis,Senior Marketing Executive,7-Aug-20
Asian Paints,Programmer Analyst,7-Aug-20
,,7-Aug-20
Akamai Technologies,SDE-2,7-Aug-20
,,7-Aug-20
,,7-Aug-20
Accolite,Software Engineer,7-Aug-20
Danske IT and Support Services  India Pvt Ltd,Senior Software Engineer,7-Aug-20
DSC Gtbit,ML Lead,7-Aug-20
Cosmos India,Flutter Developer,7-Aug-20
SAP Labs India,Scholar,7-Aug-20
Indbytes Technologies,UX Design Intern,7-Aug-20
,,7-Aug-20
KloudOne (Hiring Cloud Engineering Talent!),Trainee Software Engineer,7-Aug-20
CNCF [Cloud Native Computing Foundation],SDE Intern,7-Aug-20
,,7-Aug-20
Aspire Technology Solution,IT Recruiter,7-Aug-20
The Ronnie K. Irani Center for the Creation of Economic Wealth (I-CCEW),Software Engineer Intern,7-Aug-20
Intern Labs,Mentor,7-Aug-20
WCE ACM Student Chapter,Web Developer,7-Aug-20
,,7-Aug-20
AstraZeneca,Software Engineer,7-Aug-20
Mittsure Technologies LLP,Sales and Marketing Engineer,7-Aug-20
Developer Student Clubs,Moderator,7-Aug-20
Informatica,Associate Software Engineer,7-Aug-20
Edument Consultancy Private Limited,Co-Founder & CEO,6-Aug-20
Confidential Company,Researcher cybersecurity & cyberintelligence,6-Aug-20
SUSE,Product Owner / Product Manager,6-Aug-20
Google,Software Engineer,5-Aug-20
Wells Fargo,Program Associate A,5-Aug-20
BizLynx® Consultancy Services,Career Coach,5-Aug-20
Mitti Ke Rang (MKR),Co-Founder,5-Aug-20
Kickfurther,Operations Research Analyst,5-Aug-20
Mitti Ke Rang (MKR),Head Of Content,5-Aug-20
KamalVeda,Managing Director,5-Aug-20
Cognizant,Analysis Programmer,5-Aug-20
SunGard - now part of FIS,Specialist Business Analyst,5-Aug-20
CGI,Software Engineer,5-Aug-20
Wisdom Tree,Market Research Analyst,5-Aug-20
Coding Ninjas India,Teaching Assistant,5-Aug-20
Amazon,SDE 2,4-Aug-20
Invenzee Technologies Pvt. Ltd.,Founder and Chief Operating Officer ,4-Aug-20
Conrad Pune,Restaurant Manager,4-Aug-20
"Tisha Marie Enterprises, LLC",President/CEO,4-Aug-20
AIESEC,Community Volunteer,4-Aug-20
LinuxWorld Informatics Pvt Ltd,Student,4-Aug-20
Xavier's Commerce and Management Society,Sub Committee Head of PR and Marketing,4-Aug-20
"TKM College of Engineering , Kollam",Student,4-Aug-20
Inguro.com,Growth Hacker,4-Aug-20
Campus Management Corp.,Software QA Engineer III,3-Aug-20
Abhyuday | The Social Body of IIT Bombay,Campus Ambassador,3-Aug-20
APTRON Solutions Private Limited,Software Trainee,3-Aug-20
Coursera,Coursera Beta Tester,3-Aug-20
Jaypee University Anoopshahr,Student,3-Aug-20
Facebook,Software Engineer,2-Aug-20
"Shanti Dham Senior Secondary School ,",Computer Science Teacher,2-Aug-20
SUN PHARMA,Trainee sales executive ,2-Aug-20
Microsoft Azure DevOps,student partner,2-Aug-20
Citi,Senior Data Analyst,1-Aug-20
Persistent Systems,Software Development Engineer,1-Aug-20
Intellipaat, Team Lead - Research Analyst,1-Aug-20
AIR-INDIA ENGINEERING SERVICES LIMITED,Supervisor in Personnel Department,1-Aug-20
Red Hat,Software Engineer,1-Aug-20
Wells Fargo,Analyst - Market Risk Analytics,1-Aug-20
Fiverr Freelancers,Software Engineer,1-Aug-20
British Council,English Language Trainer,31-Jul-20
,,31-Jul-20
LMC - London Metropolitan College,Associate lecturer Project Control,31-Jul-20
VESIT SoRT,SoRT Representative ,31-Jul-20
Coding Ninjas India,Campus Ambassador,31-Jul-20
Juniper Networks,Software Engineer 1,31-Jul-20
Shell,Software Engineer,31-Jul-20
Independent Researcher,Research Assistant,31-Jul-20
,,31-Jul-20
NVIDIA,SW Tools and Test Development Engineer,31-Jul-20
Dell EMC,Sr software engineer,31-Jul-20
Clover Ventures ,Software developer intern,31-Jul-20
Numen Health,Software Development Engineer ,31-Jul-20
VMware,Business Analyst l - Advanced Analytics and Data Science,31-Jul-20
Tern,Open Source Developer,31-Jul-20
,,31-Jul-20
HPCL-Mittal Energy Limited,Engineer - Contracts & Procurement,31-Jul-20
Confidential,Technical Support Engineer,31-Jul-20
GitHub,Developer Program Member,31-Jul-20
Innovation cell IIT Bombay,Workshop,30-Jul-20
ITC Infotech,Software Engineer,30-Jul-20
Self-employed,Self Employed,30-Jul-20
IBM,Project Intern,30-Jul-20
Crazarts,CEO & Founder Of Crazarts,30-Jul-20
Infratab Inc,UI Intern,30-Jul-20
,,30-Jul-20
,,30-Jul-20
QPIC Solutions Private Limited,Marketing Intern,30-Jul-20
ZS,Data Scientist,30-Jul-20
Google Developers,DSC Lead ,30-Jul-20
,,30-Jul-20
Cyware Labs,Software Development Engineer,27-Jul-20
,,27-Jul-20
workat.tech,Co-Founder,27-Jul-20
Reliance Industries Limited,Security Project Manager,27-Jul-20
Coding Blocks,Campus Ambassador,27-Jul-20
TAM Enterprises,Operation Management Intern,27-Jul-20
Cadence Design Systems,Software engineer II,27-Jul-20
Refinitiv,Software Development Engineer,27-Jul-20
Vigilant Consultancy,Junior Dotnet Developer,27-Jul-20
EvenCloud Private limited,Co-Founder,27-Jul-20
Resurgent AV Integrators Pvt Ltd,trainee-design and estimation,27-Jul-20
